,SC-0-px,SC-0-py,SC-0-pz,SC-0-vx,SC-0-vy,SC-0-vz,SC-1-px,SC-1-py,SC-1-pz,SC-1-vx,SC-1-vy,SC-1-vz,SC-2-px,SC-2-py,SC-2-pz,SC-2-vx,SC-2-vy,SC-2-vz,SC-3-px,SC-3-py,SC-3-pz,SC-3-vx,SC-3-vy,SC-3-vz,SC-4-px,SC-4-py,SC-4-pz,SC-4-vx,SC-4-vy,SC-4-vz,SC-5-px,SC-5-py,SC-5-pz,SC-5-vx,SC-5-vy,SC-5-vz,SC-6-px,SC-6-py,SC-6-pz,SC-6-vx,SC-6-vy,SC-6-vz,SC-7-px,SC-7-py,SC-7-pz,SC-7-vx,SC-7-vy,SC-7-vz,SC-8-px,SC-8-py,SC-8-pz,SC-8-vx,SC-8-vy,SC-8-vz,SC-9-px,SC-9-py,SC-9-pz,SC-9-vx,SC-9-vy,SC-9-vz
705.0,-2100.366,549.8484,453.6872,-8.221993,4.579816,-0.1455683,-2203.311,1631.5410000000002,659.5564,-7.335545,4.806911,0.36328720000000003,-3096.765,3002.1940000000004,-389.0696,-7.1766630000000005,6.783383000000001,-0.7444008000000001,-2936.792,1844.41,-28.97438,-8.733398,6.42899,-0.07188099,-3088.933,2685.796,122.5329,-7.461183999999999,6.76627,-0.41348090000000004,-3099.4790000000003,1746.21,36.512170000000005,-6.7497419999999995,6.793146000000001,-0.02734777,-2481.5170000000003,1870.579,-198.3835,-7.137982000000001,5.423019,0.4271328,-3338.84,1822.513,575.3946,-6.809168,7.323200999999999,-0.09554377,-3275.5290000000005,3048.9770000000003,538.4539,-7.458080000000001,7.178884,0.05010983,-2347.474,111.8556,49.90428,-7.478078999999999,5.129743,1.07825
706.0,-2108.593,554.4386,453.5412,-8.231444999999999,4.597906,-0.1462064,-2210.651,1636.358,659.9194,-7.3448720000000005,4.823039,0.3623962,-3103.946,3008.988,-389.8141,-7.184900999999999,6.799157000000001,-0.7440026999999999,-2945.53,1850.852,-29.04631,-8.741833,6.448212,-0.07192562,-3096.3979999999997,2692.573,122.1191,-7.469431,6.782674,-0.41371199999999997,-3106.232,1753.013,36.48475,-6.7579720000000005,6.807975,-0.02747292,-2488.659,1876.0120000000002,-197.9562,-7.14697,5.438708999999999,0.42729670000000003,-3345.6540000000005,1829.8470000000002,575.2986,-6.817105000000001,7.338161,-0.09633191,-3282.991,3056.1679999999997,538.5037,-7.466100999999999,7.195281,0.04936725,-2354.9570000000003,116.9953,50.98283,-7.487225,5.146186,1.078109
707.0,-2116.8289999999997,559.047,453.3947,-8.240888,4.616018,-0.1468442,-2218.001,1641.19,660.2815,-7.354191,4.839187,0.3615049,-3111.135,3015.798,-390.5582,-7.193131,6.81495,-0.7436036,-2954.276,1857.3120000000001,-29.118290000000002,-8.750258,6.467452,-0.07196998,-3103.8720000000003,2699.367,121.7051,-7.47767,6.799097,-0.4139424,-3112.995,1759.832,36.4572,-6.7661929999999995,6.822822,-0.02759786,-2495.811,1881.461,-197.5286,-7.1559479999999995,5.454418,0.4274603,-3352.475,1837.1960000000001,575.2018,-6.825033,7.353138,-0.09711974,-3290.462,3063.375,538.5527,-7.474112,7.211696000000001,0.04862479,-2362.449,122.1515,52.061240000000005,-7.4963630000000006,5.162649,1.077967
708.0,-2125.074,563.6736,453.2475,-8.250321000000001,4.634151,-0.1474816,-2225.36,1646.039,660.6426,-7.3635,4.855356,0.36061340000000003,-3118.3320000000003,3022.6240000000003,-391.302,-7.201352,6.830761,-0.7432033,-2963.03,1863.7920000000001,-29.19032,-8.758672,6.486712000000001,-0.07201407,-3111.353,2706.178,121.2908,-7.4859,6.815538,-0.4141722,-3119.765,1766.665,36.42953,-6.774406,6.837687,-0.02772259,-2502.971,1886.925,-197.1009,-7.164917999999999,5.470148,0.4276236,-3359.304,1844.56,575.1043,-6.832953999999999,7.368133,-0.09790729,-3297.94,3070.598,538.601,-7.482114,7.228128999999999,0.04788245,-2369.949,127.3241,53.1395,-7.505491,5.179133,1.077824
709.0,-2133.3289999999997,568.3182,453.0996,-8.259742999999999,4.652304,-0.14811860000000002,-2232.728,1650.904,661.0029,-7.372800999999999,4.8715459999999995,0.3597216,-3125.538,3029.466,-392.0453,-7.209564,6.846589999999999,-0.7428019,-2971.7929999999997,1870.2910000000002,-29.26238,-8.767075,6.50599,-0.07205789,-3118.844,2713.0040000000004,120.8763,-7.49412,6.831997,-0.41440119999999997,-3126.5429999999997,1773.513,36.40173,-6.782611,6.852571000000001,-0.0278471,-2510.14,1892.405,-196.6731,-7.1738789999999995,5.485898000000001,0.42778649999999996,-3366.1409999999996,1851.94,575.0059,-6.840866,7.383146000000001,-0.09869453,-3305.426,3077.8379999999997,538.6485,-7.490108,7.24458,0.04714023,-2377.459,132.5133,54.21763000000001,-7.51461,5.1956370000000005,1.077679
710.0,-2141.594,572.9811,452.9511,-8.269156,4.670479,-0.14875529999999998,-2240.105,1655.786,661.3623,-7.382092,4.887757,0.3588295,-3132.7509999999997,3036.324,-392.7883,-7.217767,6.862438,-0.7423995,-2980.565,1876.81,-29.334490000000002,-8.775468,6.5252870000000005,-0.07210144,-3126.342,2719.848,120.4616,-7.502331,6.848475,-0.41462959999999993,-3133.33,1780.376,36.37381,-6.790807000000001,6.8674729999999995,-0.0279714,-2517.319,1897.901,-196.245,-7.182832,5.5016680000000004,0.42794909999999997,-3372.985,1859.3339999999998,574.9068,-6.848769,7.3981770000000004,-0.09948147,-3312.92,3085.094,538.6953,-7.498092,7.261049000000001,0.04639813,-2384.979,137.719,55.2956,-7.523719,5.212161,1.077533
711.0,-2149.868,577.6621,452.802,-8.278559,4.688675,-0.1493916,-2247.492,1660.683,661.7208,-7.391375,4.903989,0.3579372,-3139.973,3043.197,-393.5308,-7.225961,6.878303999999999,-0.7419958999999999,-2989.344,1883.3470000000002,-29.40665,-8.78385,6.5446029999999995,-0.07214472,-3133.848,2726.708,120.0467,-7.510534,6.864971000000001,-0.41485730000000004,-3140.125,1787.254,36.34576,-6.798996000000001,6.882394000000001,-0.02809548,-2524.506,1903.412,-195.8169,-7.191775,5.517457,0.42811130000000003,-3379.8379999999997,1866.743,574.8069,-6.856665,7.413226,-0.1002681,-3320.422,3092.367,538.7414,-7.506067,7.2775360000000004,0.04565616,-2392.507,142.9413,56.37344,-7.53282,5.228706,1.077387
712.0,-2158.151,582.3614,452.6523,-8.287951,4.706891000000001,-0.1500275,-2254.888,1665.5970000000002,662.0784,-7.4006479999999994,4.920241000000001,0.3570446,-3147.203,3050.087,-394.2729,-7.234147,6.894188000000001,-0.7415913000000001,-2998.132,1889.904,-29.47885,-8.792221000000001,6.563936999999999,-0.07218772,-3141.363,2733.5840000000003,119.6315,-7.518727,6.881486,-0.41508429999999996,-3146.928,1794.1470000000002,36.31759,-6.807175999999999,6.897333000000001,-0.02821934,-2531.702,1908.94,-195.3885,-7.200710000000001,5.5332669999999995,0.4282732,-3386.699,1874.168,574.7062,-6.864552000000001,7.428292,-0.1010544,-3327.9320000000002,3099.656,538.7867,-7.514032,7.29404,0.04491431,-2400.044,148.1801,57.451130000000006,-7.541911,5.245271,1.0772389999999998
713.0,-2166.444,587.0789,452.5019,-8.297334,4.725129,-0.15066310000000002,-2262.2929999999997,1670.527,662.4351,-7.409913,4.936514,0.3561518,-3154.442,3056.992,-395.0146,-7.242323,6.910091,-0.7411854999999999,-3006.929,1896.481,-29.551090000000002,-8.800582,6.583291,-0.07223045,-3148.886,2740.4770000000003,119.2162,-7.526911,6.898019000000001,-0.41531049999999997,-3153.739,1801.055,36.2893,-6.815347,6.91229,-0.02834298,-2538.908,1914.483,-194.96,-7.209636,5.549097,0.4284348,-3393.567,1881.6070000000002,574.6047,-6.872431,7.443375,-0.1018405,-3335.45,3106.962,538.8312,-7.521989,7.310561999999999,0.04417258,-2407.591,153.4355,58.52867,-7.550994,5.261857,1.0770899999999999
714.0,-2174.746,591.8147,452.3508,-8.306706,4.7433879999999995,-0.1512983,-2269.708,1675.473,662.791,-7.419167999999999,4.952808,0.3552587,-3161.688,3063.913,-395.756,-7.250491,6.926011999999999,-0.7407786999999999,-3015.7329999999997,1903.0770000000002,-29.62337,-8.808932,6.602663000000001,-0.07227291,-3156.417,2747.386,118.8005,-7.5350850000000005,6.914569999999999,-0.41553609999999996,-3160.559,1807.9779999999998,36.26088,-6.823511,6.927264999999999,-0.02846639,-2546.1220000000003,1920.0420000000001,-194.5313,-7.218553999999999,5.564947,0.428596,-3400.4440000000004,1889.0620000000001,574.5024,-6.880300999999999,7.458477,-0.1026262,-3342.9759999999997,3114.285,538.8751,-7.529936999999999,7.327103,0.04343099,-2415.146,158.7075,59.60606,-7.560067,5.278462,1.0769389999999999
